CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
1000,M,39,59.9,58,0
1001,M,34,48.4,37,0
1002,F,40,70.5,26,3
1003,F,47,81.1,30,3
1004,F,33,42.1,58,2
1005,M,33,36.7,73,4
1006,F,48,90.4,34,3
1007,F,41,74.8,35,3
1008,F,31,42.3,43,2
1009,M,39,48.6,61,2
1010,M,31,21.2,52,2
1011,M,31,47.2,67,4
1012,M,37,45.4,48,2
1013,F,20,15,78,4
1014,F,21,25.9,65,4
1015,F,31,35.3,54,2
1016,F,27,39.7,49,2
1017,M,38,55.9,43,0
1018,M,28,38.5,59,2
1019,M,24,15,64,4
1020,F,47,89,23,3
1021,M,33,44.1,51,2
1022,M,36,44.4,52,2
1023,F,24,26.9,37,2
1024,F,31,24.2,65,4
1025,M,36,50.7,39,0
1027,M,38,40.2,36,0
1028,M,30,24.4,42,2
1029,M,33,50.9,36,0
1030,M,30,31.6,50,2
1031,F,50,99.1,42,3
1032,F,35,41.3,48,2
1033,F,27,17.5,65,4
1034,M,42,62.1,46,0
1035,F,25,37.5,56,2
1036,M,37,48,49,2
1037,M,19,15,50,2
1038,F,24,27.1,73,4
1039,M,37,53.2,66,4
1040,M,41,87.7,16,3
1041,F,36,59,35,0
1042,F,34,40.9,51,2
1043,F,33,31.4,48,2
1044,M,23,20.7,66,4
1045,F,29,36.9,48,2
1046,F,31,30.7,79,4
1047,M,43,64.9,53,0
1048,F,38,53.8,49,0
1049,F,21,20,71,4
1050,F,38,51.3,59,2
1051,M,32,34.1,51,2
1052,M,30,34.8,48,2
1053,M,40,70,41,0
1054,M,43,82.3,42,3
1055,F,42,77.7,37,3
1056,M,28,18.2,47,2
1057,M,33,34.6,48,2
1058,F,38,39,52,2
1059,F,43,70.5,38,0
1060,F,31,37.7,75,4
1061,M,34,32.2,43,2
1062,M,26,22,66,4
1063,M,25,19.6,77,4
1064,F,42,80.9,57,0
1065,F,46,77.7,30,3
1066,M,34,38,59,2
1068,F,38,46.6,52,2
1069,F,30,34.4,55,2
1070,M,38,64.4,47,0
1071,F,47,89.1,3,1
1072,F,35,35.2,62,4
1073,M,48,98.1,26,3
1074,M,18,21.5,56,2
1075,F,42,62.8,62,0
1076,F,36,54,41,0
1077,M,33,54.3,44,0
1078,M,36,38.4,74,4
1079,F,19,15,53,2
1080,F,33,50.1,44,0
1081,F,38,53.2,46,0
1082,F,47,86.9,38,3
1083,M,31,41.1,56,2
1084,F,29,37.9,42,2
1085,F,31,27.8,54,2
1086,M,42,84.3,27,3
1087,F,38,60.4,44,0
1088,M,31,36.6,60,2
1089,F,39,52.5,52,0
1090,F,36,35.2,37,2
1091,M,43,69.3,50,0
1092,M,29,39.4,57,2
1093,F,32,39.7,68,4
1094,F,32,49.2,55,2
1095,F,23,21.3,72,4
1096,M,37,53.7,52,0
1097,F,37,41,66,4
1098,M,35,45.4,57,2
1099,M,33,40.6,53,2
1100,F,24,27.6,81,4
1101,M,32,37.2,64,4
1102,F,32,39.1,60,2
1103,F,29,41.4,41,2
1104,F,34,40.3,41,2
1106,F,50,104.9,21,3
1107,M,36,58.5,40,0
1108,M,37,38.9,55,2
1109,F,34,49.3,66,4
1110,F,20,15,69,4
1111,M,35,47.7,39,0
1112,M,35,48,49,2
1113,M,55,97.7,10,1
1114,M,33,35.7,52,2
1115,F,37,43.7,47,2
1116,F,35,38.3,49,2
1118,F,44,77.5,34,3
1119,M,41,78.7,30,3
1120,F,41,79.7,6,1
1121,M,28,44.9,72,4
1122,F,46,79.5,44,0
1123,M,24,27.7,54,2
1124,M,40,80,36,3
1125,F,53,100.1,8,1
1126,M,27,31.8,74,4
1127,F,30,42.5,72,4
1128,F,36,51.3,50,0
1129,M,31,28.5,69,4
1130,F,23,31,58,2
1131,F,36,54.5,34,0
1132,F,27,25.1,56,2
1133,F,39,53.1,48,0
1135,M,47,82.7,29,3
1136,F,29,43.4,52,2
1137,F,32,59.1,45,0
1138,F,42,66.2,41,0
1139,F,25,16.6,52,2
1140,F,37,51.6,41,0
1141,M,45,87.6,18,3
1142,F,22,20.4,70,4
1143,M,36,59,25,0
1144,M,37,38.5,65,4
1145,M,41,74.8,52,0
1146,M,25,22.8,57,2
1147,F,24,39.6,27,0
1148,M,39,68.7,37,0
1149,M,37,43.1,51,2
1150,F,37,44.8,41,0
1151,F,38,57.9,40,0
1152,F,30,33.5,72,4
1153,M,37,48.8,56,2
1154,F,37,49.4,40,0
1155,F,29,19.4,46,2
1156,M,50,84.7,25,3
1157,F,39,47.3,47,2
1158,F,25,23.7,65,4
1159,F,40,82.1,30,3
1160,F,27,21.1,66,4
1161,M,41,87.9,52,0
1162,F,44,84.9,40,3
1163,F,28,30.8,57,2
1164,M,43,86.4,30,3
1165,F,38,53.7,44,0
1166,M,42,81.7,46,0
1167,F,50,92.6,19,3
1168,M,33,39.3,55,2
1169,M,29,29.9,59,2
1170,M,28,24.3,55,2
1171,M,28,26.4,46,2
1172,F,34,67.4,46,0
1173,M,38,61,44,0
1174,F,37,38.4,59,2
1175,M,42,70,34,0
1176,M,35,49.5,62,2
1177,M,47,85.6,21,3
1178,F,33,46.4,68,4
1179,M,57,88.8,2,1
1180,F,40,68.2,45,0
1181,F,28,35.6,60,2
1182,F,26,30.1,50,2
1183,F,39,35,59,2
1184,F,33,40.2,67,4
1185,F,41,73.9,16,3
1186,F,39,54.2,52,0
1188,F,28,35.9,46,2
1189,M,23,21.5,77,4
1190,M,31,45.8,46,2
1191,M,42,82.5,22,3
1192,M,37,52.6,46,0
1193,M,25,32.5,77,4
1194,F,36,63.9,25,3
1195,F,38,42,41,2
1196,F,28,36.8,70,4
1197,F,36,40,72,4
1198,F,35,50,48,0
1199,F,26,22.1,48,2
1200,F,38,47.7,71,4
1201,M,39,50.4,64,4
1202,M,44,87.2,38,3
